iter	Passed	Remaining
714	896	357
715	897	356
716	898	354
717	899	353
718	901	352
719	902	350
720	902	349
721	904	348
722	905	346
723	906	345
724	907	344
725	909	343
726	911	342
727	913	341
728	914	339
729	915	338
730	916	337
731	918	336
732	919	334
733	920	333
734	921	332
735	923	331
736	924	329
737	925	328
738	927	327
739	928	326
740	929	324
741	930	323
742	931	322
743	932	320
744	933	319
745	934	318
746	935	317
747	937	315
748	938	314
749	939	313
750	940	311
751	941	310
752	942	309
753	943	307
754	945	306
755	946	305
756	947	304
757	948	302
758	950	301
759	951	300
760	952	299
761	953	297
762	955	296
763	956	295
764	957	294
765	958	292
766	959	291
767	961	290
768	962	289
769	963	287
770	964	286
771	965	285
772	966	283
773	968	282
774	969	281
775	970	280
776	972	278
777	973	277
778	974	276
779	975	275
780	976	273
781	977	272
782	978	271
783	980	270
784	981	268
785	982	267
786	984	266
787	985	265
788	986	263
789	988	262
790	989	261
791	990	260
792	991	258
793	992	257
794	993	256
795	995	255
796	996	253
797	997	252
798	998	251
799	999	249
800	1001	248
801	1002	247
802	1003	246
803	1004	244
804	1005	243
805	1006	242
806	1008	241
807	1009	239
808	1010	238
809	1011	237
810	1012	235
811	1013	234
812	1015	233
813	1016	232
814	1017	231
815	1019	229
816	1020	228
817	1021	227
818	1023	226
819	1024	224
820	1025	223
821	1026	222
822	1028	221
823	1029	219
824	1031	218
825	1032	217
826	1033	216
827	1035	215
828	1036	213
829	1037	212
830	1038	211
831	1039	209
832	1041	208
833	1042	207
834	1044	206
835	1045	205
836	1046	203
837	1048	202
838	1049	201
839	1050	200
840	1051	198
841	1053	197
842	1054	196
843	1055	195
844	1056	193
845	1058	192
846	1059	191
847	1060	190
848	1062	188
849	1063	187
850	1064	186
851	1065	185
852	1066	183
853	1067	182
854	1069	181
855	1070	180
856	1071	178
857	1072	177
858	1074	176
859	1075	175
860	1076	173
861	1077	172
862	1078	171
863	1079	169
864	1080	168
865	1081	167
866	1082	166
867	1084	164
868	1085	163
869	1086	162
870	1087	161
871	1088	159
872	1090	158
873	1091	157
874	1092	156
875	1093	154
876	1094	153
877	1095	152
878	1096	150
879	1097	149
880	1099	148
881	1100	147
882	1112	147
883	1114	146
884	1115	144
885	1116	143
886	1117	142
887	1119	141
888	1120	139
889	1121	138
890	1122	137
891	1123	136
892	1124	134
893	1125	133
894	1126	132
895	1128	130
896	1129	129
897	1130	128
898	1131	127
899	1132	125
900	1134	124
901	1135	123
902	1136	122
903	1137	120
904	1138	119
905	1140	118
906	1141	117
907	1142	115
908	1144	114
909	1145	113
910	1146	112
911	1148	110
912	1149	109
913	1151	108
914	1152	107
915	1154	105
916	1155	104
917	1156	103
918	1157	102
919	1158	100
920	1159	99
921	1160	98
922	1161	96
923	1163	95
924	1164	94
925	1165	93
926	1166	91
927	1167	90
928	1168	89
929	1170	88
930	1171	86
931	1172	85
932	1173	84
933	1174	82
934	1175	81
935	1177	80
936	1178	79
937	1179	77
938	1180	76
939	1182	75
940	1183	74
941	1184	72
942	1185	71
943	1186	70
944	1190	69
945	1193	68
946	1195	66
947	1199	65
948	1204	64
949	1221	64
950	1224	63
951	1226	61
952	1228	60
953	1231	59
954	1235	58
955	1260	58
956	1262	56
957	1264	55
958	1266	54
959	1269	52
960	1289	52
961	1291	51
962	1294	49
963	1296	48
964	1315	47
965	1318	46
966	1322	45
967	1324	43
968	1333	42
969	1337	41
970	1343	40
971	1346	38
972	1347	37
973	1349	36
974	1350	34
975	1352	33
976	1353	31
977	1355	30
978	1355	29
979	1356	27
980	1358	26
981	1359	24
982	1361	23
983	1362	22
984	1364	20
985	1365	19
986	1366	18
987	1368	16
988	1369	15
989	1370	13
990	1371	12
991	1372	11
992	1374	9
993	1375	8
994	1376	6
995	1378	5
996	1380	4
997	1381	2
998	1383	1
999	1384	0
